"","Place","Statistic","Value"
"82",32,"C1R Strokes Saved",0.729021800268137
"83",33,"C1R Strokes Saved",0.743518838379832
"84",34,"C1R Strokes Saved",1.2051989311742
"85",35,"C1R Strokes Saved",-0.722039001096895
"86",36,"C1R Strokes Saved",0.324629194175624
"87",37,"C1R Strokes Saved",0.342658877570353
"88",38,"C1R Strokes Saved",0.0900298006355218
"89",39,"C1R Strokes Saved",0.516410936445358
"90",40,"C1R Strokes Saved",0.0881142729624251
"91",41,"C1R Strokes Saved",-0.994692888233686
"92",42,"C1R Strokes Saved",0.795775603666182
"93",43,"C1R Strokes Saved",0.374064995189554
"94",44,"C1R Strokes Saved",-0.309602481074382
"95",45,"C1R Strokes Saved",0.249725518429485
"96",46,"C1R Strokes Saved",-0.155806675385559
"97",47,"C1R Strokes Saved",-0.558995843225247
"98",48,"C1R Strokes Saved",0.635010193815888
"99",49,"C1R Strokes Saved",-0.935452499936718
"100",50,"C1R Strokes Saved",0
"101",1,"C1P (%)",88.66
"102",2,"C1P (%)",85.9833333333333
"103",3,"C1P (%)",86.9230769230769
"104",4,"C1P (%)",85.1379310344828
"105",5,"C1P (%)",82.875
"106",6,"C1P (%)",81.6
"107",7,"C1P (%)",83.05
"108",8,"C1P (%)",80.7857142857143
"109",9,"C1P (%)",84.5476190476191
"110",10,"C1P (%)",81.4576271186441
"111",11,"C1P (%)",84.2857142857143
"112",12,"C1P (%)",83.4545454545455
"113",13,"C1P (%)",80.6984126984127
"114",14,"C1P (%)",81.5192307692308
"115",15,"C1P (%)",81.4313725490196
"116",16,"C1P (%)",79.7592592592593
"117",17,"C1P (%)",77.8333333333333
"118",18,"C1P (%)",82.2982456140351
"119",19,"C1P (%)",78.1627906976744
"120",20,"C1P (%)",81.2702702702703
"121",21,"C1P (%)",81.7
"122",22,"C1P (%)",77
"123",23,"C1P (%)",76.0294117647059
"124",24,"C1P (%)",80.6896551724138
"125",25,"C1P (%)",80.9625
"126",26,"C1P (%)",79.225
"127",27,"C1P (%)",78.2608695652174
"128",28,"C1P (%)",77.5769230769231
"129",29,"C1P (%)",75.7142857142857
"130",30,"C1P (%)",77.1666666666667
"131",31,"C1P (%)",78.6666666666667
"132",32,"C1P (%)",76.5365853658537
"133",33,"C1P (%)",78.9090909090909
"134",34,"C1P (%)",76.2533333333333
"135",35,"C1P (%)",79.75
"136",36,"C1P (%)",77.4130434782609
"137",37,"C1P (%)",73.5681818181818
