"","Percent","Statistic","Strokes"
"1",53.72,"C1R_strokes",5.75893942193639
"2",53.2046909090909,"C1R_strokes",5.64141004597851
"3",52.6893818181818,"C1R_strokes",5.52388067002062
"4",52.1740727272727,"C1R_strokes",5.40635129406273
"5",51.6587636363636,"C1R_strokes",5.28882191810485
"6",51.1434545454545,"C1R_strokes",5.17129254214696
"7",50.6281454545455,"C1R_strokes",5.05376316618908
"8",50.1128363636364,"C1R_strokes",4.93623379023119
"9",49.5975272727273,"C1R_strokes",4.81870441427331
"10",49.0822181818182,"C1R_strokes",4.70117503831542
"11",48.5669090909091,"C1R_strokes",4.58364566235753
"12",48.0516,"C1R_strokes",4.46611628639965
"13",47.5362909090909,"C1R_strokes",4.34858691044176
"14",47.0209818181818,"C1R_strokes",4.23105753448388
"15",46.5056727272727,"C1R_strokes",4.11352815852599
"16",45.9903636363636,"C1R_strokes",3.99599878256811
"17",45.4750545454545,"C1R_strokes",3.87846940661022
"18",44.9597454545455,"C1R_strokes",3.76094003065234
"19",44.4444363636364,"C1R_strokes",3.64341065469445
"20",43.9291272727273,"C1R_strokes",3.52588127873656
"21",43.4138181818182,"C1R_strokes",3.40835190277868
"22",42.8985090909091,"C1R_strokes",3.29082252682079
"23",42.3832,"C1R_strokes",3.17329315086291
"24",41.8678909090909,"C1R_strokes",3.05576377490502
"25",41.3525818181818,"C1R_strokes",2.93823439894714
"26",40.8372727272727,"C1R_strokes",2.82070502298925
"27",40.3219636363636,"C1R_strokes",2.70317564703137
"28",39.8066545454545,"C1R_strokes",2.58564627107348
"29",39.2913454545454,"C1R_strokes",2.46811689511559
"30",38.7760363636364,"C1R_strokes",2.35058751915771
"31",38.2607272727273,"C1R_strokes",2.23305814319983
"32",37.7454181818182,"C1R_strokes",2.11552876724194
"33",37.2301090909091,"C1R_strokes",1.99799939128405
"34",36.7148,"C1R_strokes",1.88047001532617
"35",36.1994909090909,"C1R_strokes",1.76294063936828
"36",35.6841818181818,"C1R_strokes",1.6454112634104
"37",35.1688727272727,"C1R_strokes",1.52788188745251
"38",34.6535636363636,"C1R_strokes",1.41035251149463
"39",34.1382545454545,"C1R_strokes",1.29282313553674
"40",33.6229454545455,"C1R_strokes",1.17529375957885
"41",33.1076363636364,"C1R_strokes",1.05776438362097
"42",32.5923272727273,"C1R_strokes",0.940235007663085
"43",32.0770181818182,"C1R_strokes",0.822705631705198
"44",31.5617090909091,"C1R_strokes",0.705176255747313
"45",31.0464,"C1R_strokes",0.587646879789427
"46",30.5310909090909,"C1R_strokes",0.470117503831541
"47",30.0157818181818,"C1R_strokes",0.352588127873656
"48",29.5004727272727,"C1R_strokes",0.235058751915771
"49",28.9851636363636,"C1R_strokes",0.117529375957885
"50",28.4698545454545,"C1R_strokes",0
"51",88.66,"C1P_strokes",3.04092247430471
"52",88.3581636363636,"C1P_strokes",2.97886283197196
"53",88.0563272727273,"C1P_strokes",2.91680318963921
"54",87.7544909090909,"C1P_strokes",2.85474354730646
"55",87.4526545454545,"C1P_strokes",2.79268390497371
"56",87.1508181818182,"C1P_strokes",2.73062426264097
"57",86.8489818181818,"C1P_strokes",2.66856462030821
"58",86.5471454545454,"C1P_strokes",2.60650497797547
"59",86.2453090909091,"C1P_strokes",2.54444533564272
"60",85.9434727272727,"C1P_strokes",2.48238569330997
"61",85.6416363636364,"C1P_strokes",2.42032605097722
"62",85.3398,"C1P_strokes",2.35826640864447
"63",85.0379636363636,"C1P_strokes",2.29620676631172
"64",84.7361272727273,"C1P_strokes",2.23414712397897
"65",84.4342909090909,"C1P_strokes",2.17208748164622
"66",84.1324545454545,"C1P_strokes",2.11002783931347
"67",83.8306181818182,"C1P_strokes",2.04796819698072
"68",83.5287818181818,"C1P_strokes",1.98590855464797
"69",83.2269454545454,"C1P_strokes",1.92384891231522
"70",82.9251090909091,"C1P_strokes",1.86178926998248
"71",82.6232727272727,"C1P_strokes",1.79972962764973
"72",82.3214363636364,"C1P_strokes",1.73766998531698
"73",82.0196,"C1P_strokes",1.67561034298423
"74",81.7177636363636,"C1P_strokes",1.61355070065148
"75",81.4159272727273,"C1P_strokes",1.55149105831873
"76",81.1140909090909,"C1P_strokes",1.48943141598598
"77",80.8122545454545,"C1P_strokes",1.42737177365323
"78",80.5104181818182,"C1P_strokes",1.36531213132048
"79",80.2085818181818,"C1P_strokes",1.30325248898773
"80",79.9067454545454,"C1P_strokes",1.24119284665498
"81",79.6049090909091,"C1P_strokes",1.17913320432223
"82",79.3030727272727,"C1P_strokes",1.11707356198949
"83",79.0012363636364,"C1P_strokes",1.05501391965674
"84",78.6994,"C1P_strokes",0.992954277323985
"85",78.3975636363636,"C1P_strokes",0.930894634991237
"86",78.0957272727273,"C1P_strokes",0.868834992658488
"87",77.7938909090909,"C1P_strokes",0.806775350325738
"88",77.4920545454545,"C1P_strokes",0.744715707992988
"89",77.1902181818182,"C1P_strokes",0.682656065660241
"90",76.8883818181818,"C1P_strokes",0.620596423327491
"91",76.5865454545454,"C1P_strokes",0.558536780994741
"92",76.2847090909091,"C1P_strokes",0.496477138661993
"93",75.9828727272727,"C1P_strokes",0.434417496329242
"94",75.6810363636364,"C1P_strokes",0.372357853996496
"95",75.3792,"C1P_strokes",0.310298211663746
"96",75.0773636363636,"C1P_strokes",0.248238569330995
"97",74.7755272727273,"C1P_strokes",0.186178926998247
"98",74.4736909090909,"C1P_strokes",0.124119284665497
"99",74.1718545454545,"C1P_strokes",0.0620596423327466
"100",73.8700181818182,"C1P_strokes",0
