"","Place","Statistic","Percent"
"90",40,"C1P (%)",79.063829787234
"91",41,"C1P (%)",78.5454545454545
"92",42,"C1P (%)",73.6341463414634
"93",43,"C1P (%)",79.3823529411765
"94",44,"C1P (%)",75.5
"95",45,"C1P (%)",76.5
"96",46,"C1P (%)",78.3469387755102
"97",47,"C1P (%)",79.2702702702703
"98",48,"C1P (%)",78.2
"99",49,"C1P (%)",76.6190476190476
"100",50,"C1P (%)",75.6842105263158
"101",1,"C2R (%)",75.92
"102",2,"C2R (%)",73.8166666666667
"103",3,"C2R (%)",68.4807692307692
"104",4,"C2R (%)",69.8103448275862
"105",5,"C2R (%)",69.4464285714286
"106",6,"C2R (%)",71.4888888888889
"107",7,"C2R (%)",66.8333333333333
"108",8,"C2R (%)",67.4642857142857
"109",9,"C2R (%)",68.1904761904762
"110",10,"C2R (%)",65.6101694915254
"111",11,"C2R (%)",62.6071428571429
"112",12,"C2R (%)",61.7272727272727
"113",13,"C2R (%)",64.015873015873
"114",14,"C2R (%)",65.25
"115",15,"C2R (%)",64.9019607843137
"116",16,"C2R (%)",64.5
"117",17,"C2R (%)",63.2142857142857
"118",18,"C2R (%)",61.1228070175439
"119",19,"C2R (%)",63.4418604651163
"120",20,"C2R (%)",58.972972972973
"121",21,"C2R (%)",64.55
"122",22,"C2R (%)",64.4655172413793
"123",23,"C2R (%)",60.5
"124",24,"C2R (%)",60.7586206896552
"125",25,"C2R (%)",60.3875
"126",26,"C2R (%)",59.525
"127",27,"C2R (%)",59.8913043478261
"128",28,"C2R (%)",52.8846153846154
"129",29,"C2R (%)",61.25
"130",30,"C2R (%)",59.8148148148148
"131",31,"C2R (%)",58.2352941176471
"132",32,"C2R (%)",58.0975609756098
"133",33,"C2R (%)",58.2424242424242
"134",34,"C2R (%)",59.64
"135",35,"C2R (%)",53.325
"136",36,"C2R (%)",56.7608695652174
"137",37,"C2R (%)",56.9545454545455
"138",38,"C2R (%)",53.2368421052632
"139",39,"C2R (%)",58.82
"140",40,"C2R (%)",53.8085106382979
"141",41,"C2R (%)",52.3181818181818
"142",42,"C2R (%)",56.4878048780488
"143",43,"C2R (%)",58.1764705882353
"144",44,"C2R (%)",54.3958333333333
"145",45,"C2R (%)",54.9642857142857
"146",46,"C2R (%)",53.7551020408163
"147",47,"C2R (%)",51.4054054054054
"148",48,"C2R (%)",56.6666666666667
"149",49,"C2R (%)",48.7619047619048
"150",50,"C2R (%)",56.3333333333333
"151",1,"C2P (%)",32.76
"152",2,"C2P (%)",31.75
"153",3,"C2P (%)",30.9423076923077
"154",4,"C2P (%)",31.8448275862069
"155",5,"C2P (%)",25.5535714285714
"156",6,"C2P (%)",26.6
"157",7,"C2P (%)",27.7
"158",8,"C2P (%)",26.6785714285714
"159",9,"C2P (%)",26.5952380952381
"160",10,"C2P (%)",23.271186440678
"161",11,"C2P (%)",25.9107142857143
"162",12,"C2P (%)",27.6969696969697
"163",13,"C2P (%)",21.968253968254
"164",14,"C2P (%)",27.8076923076923
"165",15,"C2P (%)",22.9803921568627
"166",16,"C2P (%)",22.8333333333333
"167",17,"C2P (%)",25.1904761904762
"168",18,"C2P (%)",27.0526315789474
"169",19,"C2P (%)",23.7441860465116
"170",20,"C2P (%)",27.7837837837838
"171",21,"C2P (%)",22.6166666666667
"172",22,"C2P (%)",22.3448275862069
"173",23,"C2P (%)",19.5294117647059
"174",24,"C2P (%)",24.7413793103448
"175",25,"C2P (%)",21.55
"176",26,"C2P (%)",20
"177",27,"C2P (%)",24.0869565217391
"178",28,"C2P (%)",22.1153846153846
"179",29,"C2P (%)",19.1964285714286
"180",30,"C2P (%)",24.5
"181",31,"C2P (%)",24.1176470588235
"182",32,"C2P (%)",21.609756097561
"183",33,"C2P (%)",22.5151515151515
"184",34,"C2P (%)",20.7466666666667
"185",35,"C2P (%)",21.825
"186",36,"C2P (%)",23.2173913043478
"187",37,"C2P (%)",18.0227272727273
"188",38,"C2P (%)",24.5526315789474
"189",39,"C2P (%)",17.66
"190",40,"C2P (%)",22.2127659574468
"191",41,"C2P (%)",18.5
"192",42,"C2P (%)",19.5121951219512
"193",43,"C2P (%)",21.8529411764706
"194",44,"C2P (%)",18.0625
"195",45,"C2P (%)",18.7678571428571
"196",46,"C2P (%)",20.9183673469388
"197",47,"C2P (%)",18.2432432432432
"198",48,"C2P (%)",22.2333333333333
"199",49,"C2P (%)",19.6904761904762
"200",50,"C2P (%)",18.3508771929825
